Left_knee,Right_knee
179,175
178,175
179,175
180,176
179,177
178,177
179,175
179,175
178,173
179,174
180,162
179,153
177,150
178,140
176,125
176,123
173,135
173,138
169,139
169,155
169,155
168,164
168,170
167,172
165,173
163,178
163,179
159,179
156,179
157,179
156,179
158,168
155,163
155,154
154,140
152,130
153,127
156,127
159,118
159,117
159,114
158,118
160,113
165,111
173,107
169,101
163,105
162,101
162,102
159,96
164,95
179,95
175,98
175,96
176,93
177,93
177,99
172,95
179,93
180,91
177,94
178,97
171,108
168,110
159,109
152,113
142,124
132,128
122,131
122,138
115,142
114,151
110,154
109,155
114,155
112,153
117,152
114,153
119,153
127,164
129,172
135,169
140,171
146,171
146,169
150,174
152,177
151,175
149,179
148,179
154,174
158,172
157,173
158,173
162,174
162,174
164,173
166,174
167,174
165,172
167,173
169,172
169,167
168,171
172,171
174,171
176,173
180,172
177,171
175,174
173,173
161,174
157,171
154,170
149,170
142,161
132,160
128,161
120,161
121,163
110,169
114,167
118,162
111,162
119,161
114,160
109,160
108,156
117,156
113,158
109,161
112,158
109,161
113,162
115,166
117,166
125,168
133,169
135,163
137,156
147,151
145,146
147,142
151,135
153,134
164,138
170,135
176,139
172,141
173,148
171,160
173,160
174,162
175,166
176,176
178,174
177,179
180,179
175,175
175,177
170,180
174,177
166,177
166,179
175,166
